dataset,dataset_type,scenario,model,model_version,horizon,n,mae,rmse,crps_approx,coverage95,mean_interval_width,calibration_error,failed_predictions
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened,5,20,2.6784,3.1375,1.8241,1.0000,13.9970,0.2389,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened,6,19,3.0977,3.5390,2.0817,1.0000,13.4550,0.2953,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened_no_area,1,24,0.6746,0.7903,0.9628,1.0000,15.0716,0.2222,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened_no_area,2,23,1.2934,1.4998,1.1451,1.0000,15.4895,0.1841,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened_no_area,3,22,1.8080,2.1232,1.3437,1.0000,15.0648,0.1778,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened_no_area,4,21,2.2892,2.6644,1.5732,1.0000,14.5374,0.2048,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened_no_area,5,20,2.6784,3.1375,1.8241,1.0000,13.9970,0.2389,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened_no_area,6,19,3.0977,3.5390,2.0817,1.0000,13.4550,0.2953,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,baseline,1,24,1.9034,2.8036,1.5211,0.9167,11.4856,0.1944,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,baseline,2,23,3.2921,4.7854,2.5837,0.8261,11.7258,0.2536,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,baseline,3,22,4.2156,6.0468,3.3608,0.7727,11.3153,0.2879,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,baseline,4,21,4.7569,6.7167,3.8374,0.6667,10.8249,0.2989,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,baseline,5,20,4.9746,6.9490,4.0584,0.6500,10.3243,0.3056,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,baseline,6,19,4.9594,6.9016,4.0911,0.6316,9.8224,0.3246,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened,1,24,0.6027,0.7304,0.8061,1.0000,12.4044,0.2222,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened,2,23,1.1580,1.3829,0.9834,1.0000,12.6639,0.1647,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened,3,22,1.6194,1.9542,1.1854,1.0000,12.2205,0.1636,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened,4,21,2.0596,2.4459,1.4159,1.0000,11.6909,0.1984,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened,5,20,2.4033,2.8553,1.6549,1.0000,11.1502,0.2389,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened,6,19,2.7643,3.1896,1.8941,1.0000,10.6082,0.3012,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened_no_area,1,24,0.6027,0.7304,0.8061,1.0000,12.4044,0.2222,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened_no_area,2,23,1.1580,1.3829,0.9834,1.0000,12.6639,0.1647,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened_no_area,3,22,1.6194,1.9542,1.1854,1.0000,12.2205,0.1636,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened_no_area,4,21,2.0596,2.4459,1.4159,1.0000,11.6909,0.1984,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened_no_area,5,20,2.4033,2.8553,1.6549,1.0000,11.1502,0.2389,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened_no_area,6,19,2.7643,3.1896,1.8941,1.0000,10.6082,0.3012,0
synthetic_clean,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,1,24,2.0412,2.1167,1.3262,0.8750,8.5467,0.3565,0
synthetic_clean,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,2,23,5.4611,5.5506,3.7224,0.7391,16.6906,0.4179,0
synthetic_clean,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,3,22,10.3289,10.4382,7.3440,0.6364,25.5612,0.4596,0
synthetic_clean,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,4,21,15.8769,16.0111,11.7584,0.4762,32.4874,0.4683,0
synthetic_clean,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,5,20,21.2201,21.3733,16.3390,0.3500,36.6812,0.4833,0
synthetic_clean,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,6,19,25.7540,25.9114,20.5282,0.2632,38.1303,0.5000,0
synthetic_clean,synthetic,prior_7_8_with_killer,linear_trend,baseline,1,24,3.8041,4.7250,2.9452,0.5000,7.5191,0.1444,0
synthetic_clean,synthetic,prior_7_8_with_killer,linear_trend,baseline,2,23,4.6978,5.5830,3.6096,0.5652,9.8858,0.1444,0
synthetic_clean,synthetic,prior_7_8_with_killer,linear_trend,baseline,3,22,5.5866,6.4201,4.3483,0.5000,11.4927,0.1495,0
synthetic_clean,synthetic,prior_7_8_with_killer,linear_trend,baseline,4,21,6.4622,7.2773,5.0976,0.5238,12.6850,0.1444,0
synthetic_clean,synthetic,prior_7_8_with_killer,linear_trend,baseline,5,20,7.3169,8.1670,5.8357,0.6000,13.6406,0.1389,0
synthetic_clean,synthetic,prior_7_8_with_killer,linear_trend,baseline,6,19,8.1352,9.0563,6.5418,0.6842,14.3856,0.1503,0
