dataset,dataset_type,scenario,model,horizon,mae_baseline,mae_hardened,mae_delta_hardened_minus_baseline,rmse_baseline,rmse_hardened,rmse_delta_hardened_minus_baseline,crps_approx_baseline,crps_approx_hardened,crps_approx_delta_hardened_minus_baseline,coverage95_baseline,coverage95_hardened,coverage95_delta_hardened_minus_baseline,mean_interval_width_baseline,mean_interval_width_hardened,mean_interval_width_delta_hardened_minus_baseline,calibration_error_baseline,calibration_error_hardened,calibration_error_delta_hardened_minus_baseline
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,5,19.9757,13.1112,-6.8645,20.7931,14.1840,-6.6091,18.4898,10.9482,-7.5416,0.0000,0.1250,+0.1250,10.3243,15.3224,+4.9981,0.5000,0.4931,-0.0069
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,6,22.5436,15.3665,-7.1771,23.3724,16.3588,-7.0136,21.1299,13.2759,-7.8540,0.0000,0.0667,+0.0667,9.8224,14.5907,+4.7683,0.5000,0.5000,+0.0000
enriched_monthly_panel,observed,prior_7_8_with_killer,llambo_style,all,14.4406,9.5361,-4.9045,16.4492,11.3984,-5.0508,12.9421,7.6961,-5.2460,0.1524,0.4762,+0.3238,10.9783,16.0332,+5.0549,0.4704,0.3974,-0.0730
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,1,1.5260,0.5970,-0.9290,2.3312,0.7539,-1.5773,1.3103,0.7839,-0.5264,0.8750,1.0000,+0.1250,10.2508,11.8928,+1.6420,0.1389,0.1944,+0.0555
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,2,2.5921,1.1066,-1.4855,3.9727,1.3586,-2.6141,2.1609,0.9563,-1.2046,0.8261,1.0000,+0.1739,10.4532,11.9837,+1.5305,0.1522,0.1551,+0.0029
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,3,3.3084,1.5005,-1.8079,5.0057,1.8768,-3.1289,2.7562,1.1520,-1.6042,0.7727,1.0000,+0.2273,9.8887,11.6001,+1.7114,0.1768,0.1384,-0.0384
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,4,3.6667,1.8552,-1.8115,5.5345,2.2721,-3.2624,3.1057,1.3481,-1.7576,0.6667,1.0000,+0.3333,9.4178,10.9164,+1.4986,0.1772,0.2090,+0.0318
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,5,3.6946,2.1590,-1.5356,5.6848,2.6161,-3.0687,3.2216,1.5504,-1.6712,0.6500,0.9500,+0.3000,8.7549,10.4400,+1.6851,0.1667,0.2500,+0.0833
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,6,3.7517,2.5431,-1.2086,5.6339,2.9169,-2.7170,3.2230,1.7582,-1.4648,0.6316,0.8947,+0.2631,8.0611,9.9947,+1.9336,0.1901,0.3129,+0.1228
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,all,3.0326,1.5756,-1.4570,4.7718,2.0470,-2.7248,2.5789,1.2316,-1.3473,0.7442,0.9767,+0.2325,9.5351,11.1953,+1.6602,0.1658,0.1632,-0.0026
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,1,1.5733,0.5382,-1.0351,2.3402,0.6481,-1.6921,1.3620,0.9419,-0.4201,1.0000,1.0000,+0.0000,13.9552,15.0716,+1.1164,0.1620,0.2037,+0.0417
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,2,2.7189,1.0228,-1.6961,3.9983,1.2130,-2.7853,2.1223,1.0695,-1.0528,0.8696,1.0000,+0.1304,14.3421,15.4895,+1.1474,0.1860,0.1715,-0.0145
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,3,3.5048,1.3820,-2.1228,5.0504,1.6891,-3.3613,2.6823,1.1842,-1.4981,0.8636,1.0000,+0.1364,13.9489,15.0648,+1.1159,0.2222,0.1414,-0.0808
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,4,3.9558,1.7148,-2.2410,5.6036,2.0818,-3.5218,3.0259,1.3071,-1.7188,0.8095,1.0000,+0.1905,13.4606,14.5374,+1.0768,0.2354,0.1169,-0.1185
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,5,4.1321,1.9190,-2.2131,5.7870,2.3801,-3.4069,3.1790,1.4200,-1.7590,0.8000,1.0000,+0.2000,12.9602,13.9970,+1.0368,0.2500,0.1278,-0.1222
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,6,4.0966,2.1284,-1.9682,5.7317,2.5688,-3.1629,3.1850,1.5014,-1.6836,0.7895,1.0000,+0.2105,12.4583,13.4550,+0.9967,0.2602,0.1725,-0.0877
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,all,3.2632,1.4083,-1.8549,4.8334,1.8392,-2.9942,2.5438,1.2219,-1.3219,0.8605,1.0000,+0.1395,13.5679,14.6533,+1.0854,0.2132,0.1288,-0.0844
