dataset,dataset_type,scenario,model,horizon,n,mae,rmse,crps_approx,coverage95,mean_interval_width,calibration_error,failed_predictions
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,6,19,4.8340,6.3000,4.0729,0.5789,8.2925,0.1667,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,1,24,4.4050,6.3195,3.4187,0.7500,13.9552,0.0889,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,2,23,4.3395,6.2826,3.3925,0.8261,14.3421,0.1570,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,3,22,4.8777,6.8566,3.7614,0.7727,13.9489,0.1515,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,4,21,5.1897,7.4154,4.1278,0.6190,13.4606,0.1984,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,5,20,5.0963,8.1193,4.1910,0.7500,12.9602,0.2333,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,6,19,4.8443,6.3016,3.7804,0.6842,12.4583,0.2485,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,1,24,4.5454,6.4601,3.5896,0.7500,11.4856,0.1259,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,2,23,4.7549,6.7442,3.7719,0.6522,11.7258,0.1957,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,3,22,5.3422,7.5620,4.3314,0.6818,11.3153,0.2222,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,4,21,5.8043,8.2866,4.8231,0.5714,10.8249,0.2566,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,5,20,5.9605,9.0876,5.0270,0.6500,10.3243,0.2944,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,6,19,5.6291,7.3604,4.6564,0.5789,9.8224,0.3246,0
synthetic_outlier,synthetic,prior_7_8_with_killer,gp_surrogate,1,24,6.1901,7.4948,4.4956,0.7500,19.7405,0.2130,0
synthetic_outlier,synthetic,prior_7_8_with_killer,gp_surrogate,2,23,8.3038,10.0828,6.0892,0.7826,27.2412,0.3116,0
synthetic_outlier,synthetic,prior_7_8_with_killer,gp_surrogate,3,22,12.8444,14.5212,9.3127,0.7273,34.7033,0.3939,0
synthetic_outlier,synthetic,prior_7_8_with_killer,gp_surrogate,4,21,17.9069,19.0330,12.9541,0.6667,40.3237,0.4577,0
synthetic_outlier,synthetic,prior_7_8_with_killer,gp_surrogate,5,20,22.2434,23.0265,16.5352,0.5000,43.4060,0.4667,0
synthetic_outlier,synthetic,prior_7_8_with_killer,gp_surrogate,6,19,26.2122,26.5020,20.1995,0.3158,43.8807,0.5000,0
synthetic_outlier,synthetic,prior_7_8_with_killer,linear_trend,1,24,4.9021,5.9174,3.5741,0.7500,14.6163,0.0833,0
synthetic_outlier,synthetic,prior_7_8_with_killer,linear_trend,2,23,5.2422,6.2309,3.6938,0.9130,19.6114,0.0565,0
synthetic_outlier,synthetic,prior_7_8_with_killer,linear_trend,3,22,5.5547,6.6810,3.9217,1.0000,23.0550,0.0525,0
synthetic_outlier,synthetic,prior_7_8_with_killer,linear_trend,4,21,6.2324,7.2292,4.2608,1.0000,25.5494,0.0481,0
synthetic_outlier,synthetic,prior_7_8_with_killer,linear_trend,5,20,7.1073,7.8463,4.7508,0.9500,27.5908,0.0556,0
synthetic_outlier,synthetic,prior_7_8_with_killer,linear_trend,6,19,7.0390,7.8686,4.7111,1.0000,29.2680,0.0579,0
synthetic_outlier,synthetic,prior_7_8_with_killer,llambo_style,1,24,4.4050,6.3195,3.4798,0.7500,11.4856,0.0935,0
synthetic_outlier,synthetic,prior_7_8_with_killer,llambo_style,2,23,4.3395,6.2826,3.4593,0.6957,11.7258,0.1667,0
synthetic_outlier,synthetic,prior_7_8_with_killer,llambo_style,3,22,4.8777,6.8566,3.8566,0.6818,11.3153,0.1717,0
synthetic_outlier,synthetic,prior_7_8_with_killer,llambo_style,4,21,5.1897,7.4154,4.2385,0.6190,10.8249,0.2037,0
synthetic_outlier,synthetic,prior_7_8_with_killer,llambo_style,5,20,5.0963,8.1193,4.2818,0.6500,10.3243,0.2333,0
synthetic_outlier,synthetic,prior_7_8_with_killer,llambo_style,6,19,4.8443,6.3016,3.9057,0.5789,9.8224,0.2602,0
synthetic_outlier,synthetic,prior_7_8_with_killer,logistic_scurve,1,24,4.1746,5.0033,2.9469,0.9167,18.2359,0.1306,0
synthetic_outlier,synthetic,prior_7_8_with_killer,logistic_scurve,2,23,4.3939,5.1589,3.0738,0.9130,20.1951,0.1425,0
synthetic_outlier,synthetic,prior_7_8_with_killer,logistic_scurve,3,22,4.5710,5.4295,3.2349,0.8636,21.9075,0.1616,0
synthetic_outlier,synthetic,prior_7_8_with_killer,logistic_scurve,4,21,5.1714,6.1546,3.6760,0.8571,23.3783,0.1667,0
synthetic_outlier,synthetic,prior_7_8_with_killer,logistic_scurve,5,20,5.7348,6.9508,4.2722,0.8500,24.7069,0.1889,0
synthetic_outlier,synthetic,prior_7_8_with_killer,logistic_scurve,6,19,5.7149,6.9649,4.1996,0.7895,25.8259,0.2251,0
synthetic_outlier,synthetic,prior_7_8_with_killer,persistence,1,24,4.9487,6.6594,3.7364,0.8750,24.4165,0.1157,0
synthetic_outlier,synthetic,prior_7_8_with_killer,persistence,2,23,5.4594,7.2282,4.1493,0.9565,33.1379,0.1483,0
synthetic_outlier,synthetic,prior_7_8_with_killer,persistence,3,22,7.3094,8.8214,5.1320,1.0000,39.8888,0.1869,0
synthetic_outlier,synthetic,prior_7_8_with_killer,persistence,4,21,8.4570,10.4820,6.0700,0.9524,45.2745,0.2354,0
synthetic_outlier,synthetic,prior_7_8_with_killer,persistence,5,20,9.9922,12.0116,7.1104,1.0000,49.9210,0.2556,0
synthetic_outlier,synthetic,prior_7_8_with_killer,persistence,6,19,12.0926,14.3124,8.5896,1.0000,53.3800,0.2778,0
sample_observations,observed,prior_10_12_with_killer,llambo_style,all,1,0.3017,0.3017,0.5533,1.0000,9.0160,0.2778,0
sample_observations,observed,prior_3_5_with_killer,llambo_style,all,1,0.3017,0.3017,0.8422,1.0000,13.9552,0.2778,0
sample_observations,observed,prior_7_8_no_killer,llambo_style,all,1,0.9068,0.9068,0.7958,1.0000,11.4856,0.3000,0
sample_observations,observed,prior_7_8_with_killer,gp_surrogate,all,1,4.5000,4.5000,3.3886,0.0000,7.8400,0.5000,0
sample_observations,observed,prior_7_8_with_killer,linear_trend,all,1,4.5000,4.5000,3.3886,0.0000,7.8400,0.5000,0
sample_observations,observed,prior_7_8_with_killer,llambo_style,all,1,0.3017,0.3017,0.6971,1.0000,11.4856,0.2778,0
sample_observations,observed,prior_7_8_with_killer,logistic_scurve,all,0,,,,,,,1
sample_observations,observed,prior_7_8_with_killer,persistence,all,1,4.5000,4.5000,3.3886,0.0000,7.8400,0.5000,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,all,129,3.0326,4.7718,2.5789,0.7442,9.5351,0.1658,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,all,129,3.2632,4.8334,2.5438,0.8605,13.5679,0.2132,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,all,129,3.9361,5.7989,3.1733,0.7519,10.9668,0.2743,0
synthetic_clean,synthetic,prior_7_8_with_killer,gp_surrogate,all,129,12.7827,15.3738,9.6338,0.5736,25.5169,0.4440,0
synthetic_clean,synthetic,prior_7_8_with_killer,linear_trend,all,129,5.8827,6.9125,4.6312,0.5581,11.4201,0.1453,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,all,129,3.2632,4.8334,2.5660,0.8062,10.9668,0.2321,0
synthetic_clean,synthetic,prior_7_8_with_killer,logistic_scurve,all,129,4.9101,5.9408,3.8703,0.6822,12.6763,0.3036,0
synthetic_clean,synthetic,prior_7_8_with_killer,persistence,all,129,6.8480,8.7952,6.0247,0.2791,6.8240,0.4320,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,all,129,3.1777,4.8128,2.6266,0.7674,9.5968,0.1529,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,all,129,3.2482,4.8305,2.5509,0.8450,13.5679,0.1925,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,all,129,3.9015,5.6969,3.1144,0.7674,10.9668,0.2571,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,all,129,14.0704,16.4616,10.3235,0.6047,31.4290,0.4121,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,all,129,4.9199,5.9449,3.4872,0.8837,16.3269,0.0609,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,all,129,3.2482,4.8305,2.5714,0.7984,10.9668,0.2046,0
synthetic_noisy,synthetic,prior_7_8_with_killer,logistic_scurve,all,129,3.6306,4.4652,2.5389,0.9147,16.2041,0.2054,0
synthetic_noisy,synthetic,prior_7_8_with_killer,persistence,all,129,6.8755,8.6983,4.5988,0.9922,28.6472,0.2786,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,all,129,4.8799,7.0136,4.0870,0.6202,9.5601,0.1376,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,all,129,4.7736,6.8925,3.7609,0.7364,13.5679,0.1744,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,all,129,5.3026,7.5887,4.3294,0.6512,10.9668,0.2304,0
synthetic_outlier,synthetic,prior_7_8_with_killer,gp_surrogate,all,129,15.0471,17.5830,11.1578,0.6357,34.2050,0.3829,0
synthetic_outlier,synthetic,prior_7_8_with_killer,linear_trend,all,129,5.9472,6.9441,4.1164,0.9302,22.8954,0.0445,0
synthetic_outlier,synthetic,prior_7_8_with_killer,llambo_style,all,129,4.7736,6.8925,3.8510,0.6667,10.9668,0.1830,0
synthetic_outlier,synthetic,prior_7_8_with_killer,logistic_scurve,all,129,4.9123,5.9356,3.5273,0.8682,22.1697,0.1658,0
synthetic_outlier,synthetic,prior_7_8_with_killer,persistence,all,129,7.8476,10.0630,5.6658,0.9612,40.2258,0.1977,0
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,1,72,2.8072,4.4072,2.2513,0.8472,10.2508,0.0972,0
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,2,69,3.2281,4.9329,2.6632,0.7391,10.3158,0.1425,0
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,3,66,3.8104,5.6522,3.1469,0.7121,9.8655,0.1582,0
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,4,63,4.2325,6.2061,3.5786,0.6508,9.4158,0.1684,0
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,5,60,4.2105,6.7688,3.6797,0.6500,8.9017,0.1796,0
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,6,57,4.1232,5.7877,3.4901,0.6316,8.2982,0.1784,0
__ALL_SYNTHETIC__,synthetic,prior_3_5_with_killer,llambo_style,1,72,2.8122,4.3836,2.2096,0.8889,13.9552,0.1080,0
__ALL_SYNTHETIC__,synthetic,prior_3_5_with_killer,llambo_style,2,69,3.2550,4.8986,2.5487,0.8696,14.3421,0.1715,0
__ALL_SYNTHETIC__,synthetic,prior_3_5_with_killer,llambo_style,3,66,3.8816,5.6045,2.9802,0.8333,13.9489,0.1886,0
__ALL_SYNTHETIC__,synthetic,prior_3_5_with_killer,llambo_style,4,63,4.2441,6.1644,3.3372,0.7302,13.4606,0.2178,0
__ALL_SYNTHETIC__,synthetic,prior_3_5_with_killer,llambo_style,5,60,4.3724,6.7236,3.5149,0.7833,12.9602,0.2444,0
__ALL_SYNTHETIC__,synthetic,prior_3_5_with_killer,llambo_style,6,57,4.2592,5.8237,3.3262,0.7544,12.4583,0.2524,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_no_killer,llambo_style,1,72,3.0239,4.6146,2.3581,0.8611,11.4856,0.1512,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_no_killer,llambo_style,2,69,3.7554,5.4985,2.9524,0.7536,11.7258,0.2230,0
__ALL_SYNTHETIC__,synthetic,prior_7_8_no_killer,llambo_style,3,66,4.5082,6.4485,3.5994,0.7424,11.3153,0.2626,0
