dataset,dataset_type,scenario,model,model_version,horizon,n,mae,rmse,crps_approx,coverage95,mean_interval_width,calibration_error,failed_predictions
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,1,24,3.8451,4.5566,2.7379,0.8750,14.7792,0.2454,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,2,23,6.8887,7.7594,4.7645,0.8261,23.3127,0.3696,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,3,22,12.1313,12.6450,8.4285,0.6364,32.0023,0.4343,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,4,21,17.3147,17.6944,12.4408,0.5238,38.3529,0.4735,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,5,20,21.8524,22.1693,16.2719,0.3500,41.8346,0.4889,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,6,19,26.1482,26.3097,20.2271,0.3158,43.0156,0.5000,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,baseline,1,24,3.9313,4.8416,2.9061,0.7500,10.0588,0.1139,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,baseline,2,23,4.3122,5.3059,3.0783,0.7826,13.6536,0.0807,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,baseline,3,22,4.6044,5.7234,3.3315,0.9091,16.2586,0.0576,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,baseline,4,21,5.1086,6.1650,3.6397,0.9048,18.3020,0.0429,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,baseline,5,20,5.7458,6.6349,3.9584,1.0000,20.0055,0.0722,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,baseline,6,19,6.1918,7.0703,4.2318,1.0000,21.5043,0.0614,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,baseline,1,24,2.4583,3.4978,1.8217,0.9167,11.4856,0.1019,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,baseline,2,23,2.7066,4.0660,2.1143,0.8696,11.7258,0.1763,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,baseline,3,22,3.2622,4.6595,2.5188,0.8182,11.3153,0.2172,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,baseline,4,21,3.5869,5.2548,2.8992,0.7619,10.8249,0.2354,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,baseline,5,20,3.8888,6.0173,3.2290,0.7000,10.3243,0.2556,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,baseline,6,19,3.8368,5.4023,3.0780,0.6842,9.8224,0.2661,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,hardened,1,24,2.3049,3.1207,1.6712,0.9167,12.8043,0.0398,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,hardened,2,23,2.1949,2.9990,1.6455,0.9130,13.1328,0.0671,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,hardened,3,22,2.1647,2.8881,1.6185,1.0000,12.6966,0.0556,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,hardened,4,21,2.3358,3.0815,1.6864,0.9048,12.1601,0.0704,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,hardened,5,20,2.4759,3.4571,1.7955,0.9500,11.6095,0.0667,0
